y,LowerSkin,RearSpar,UpperSkin,FrontSpar,StringersBot,StringersTop
0,0.001370000000000003,0.0007300000000000013,0.001370000000000003,0.001370000000000003,51,51
12.2,0.001380000000000003,0.0007300000000000013,0.001380000000000003,0.001380000000000003,46,40
20,0.0012800000000000027,0.00042000000000000045,0.0012800000000000027,0.0012800000000000027,18,16
25,0.0006000000000000009,0.0004100000000000004,0.0006000000000000009,0.0006000000000000009,15,15
30,0.00016,0.00016,0.00016,0.00016,15,15
